Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-07-27,Gurren Lagann,2007,https://boxd.it/1gRdp7,3.5,,,2020-07-26
2020-07-28,Cowboy Bebop,1998,https://boxd.it/1gTTpn,4.5,,,2020-07-27
2020-07-28,Over the Garden Wall,2014,https://boxd.it/1gUVtN,4.5,,,2020-07-27
2020-07-28,Booksmart,2019,https://boxd.it/1gWbth,4,,,2020-07-27
2020-07-29,Mononoke,2007,https://boxd.it/1h0VXP,4.5,,,2020-07-28
2020-07-29,Rango,2011,https://boxd.it/1h3upn,,Yes,w/ lukas,2020-07-28
2020-07-29,A Ghost Story,2017,https://boxd.it/1h3TWr,4,,,2020-07-29
2020-07-30,Burning,2018,https://boxd.it/1h9btR,4.5,,,2020-07-29
2020-07-30,Boy & the World,2013,https://boxd.it/1h9FkF,,,w/ lukas,2020-07-30
2020-07-31,My Entire High School Sinking Into the Sea,2016,https://boxd.it/1hbRqz,3.5,,,2020-07-30
2020-07-31,The Killing of a Sacred Deer,2017,https://boxd.it/1hdw7b,4.5,,,2020-07-30
2020-07-31,Blue Ruin,2013,https://boxd.it/1hf7hp,3.5,,,2020-07-30
2020-07-31,Midsommar,2019,https://boxd.it/1hfSmV,4,,w/ lukas,2020-07-31
2020-08-01,I Lost My Body,2019,https://boxd.it/1hhWB5,3.5,,,2020-07-31
2020-08-01,Marriage Story,2019,https://boxd.it/1hjbhB,4.5,,,2020-07-31
2020-08-01,Roma,2018,https://boxd.it/1hkYk7,4,,,2020-07-31
2020-08-01,Mirai,2018,https://boxd.it/1hlztv,3,,,2020-08-01
2020-08-02,Portrait of a Lady on Fire,2019,https://boxd.it/1hq5nH,4.5,,,2020-08-01
2020-08-02,Mishima: A Life in Four Chapters,1985,https://boxd.it/1hrupF,4.5,,,2020-08-01
2020-08-02,Melancholia,2011,https://boxd.it/1hs6nd,2.5,,,2020-08-02
2020-08-03,Stalker,1979,https://boxd.it/1hyWh9,5,,,2020-08-02
2020-08-03,Frances Ha,2012,https://boxd.it/1hzpwd,4,,,2020-08-03
2020-08-04,Andrei Rublev,1966,https://boxd.it/1hE06f,5,,,2020-08-03
2020-08-04,Mirror,1975,https://boxd.it/1hEXhB,4,,,2020-08-03
2020-08-04,Swiss Army Man,2016,https://boxd.it/1hFr6D,3.5,,,2020-08-04
2020-08-05,My Life as a Zucchini,2016,https://boxd.it/1hLB1b,4,Yes,,2020-08-04
